wAja wAja
- -
ula ula
- -
masjixa masjixa
yaha yaha
eSiyA eSiyA
kI kA
sabase sabase
badZI badZA
masjixoM masjixa
meM meM
se se
eka eka
hE hE
. .
ise yaha
navAba navAba
SAhajehana SAhajehana
ne ne
banavAyA banavA
WA WA
. .
isake yaha
cAroM cAra
ora ora
xIvAra xIvAra
hE hE
Ora Ora
bIca bIca
meM meM
eka eka
wAlAba wAlAba
hE hE
. .
isakA yaha
praveSa praveSa
xvAra xvAra
xo xo
maMjilA maMjilA
hE hE
. .
jisameM jo
cAra cAra
meharAbeM meharAba
hEM hE
Ora Ora
muKya muKya
prArWanA prArWanA
hOYla hOYla
meM meM
jAne jA
ke ke
lie lie
9 9
praveSa praveSa
xvAra xvAra
hEM hE
. .
pUrI pUrA
imArawa imArawa
behaxa behaxa
KUbasUrawa KUbasUrawa
hE hE
. .
yahAz yahAz
lagane laga
vAlA vAlA
wIna wIna
xina xina
kA kA
ijwimA ijwimA
pUre pUrA
xeSa xeSa
ke kA
logoM loga
ko ko
AmaMwriwa AmaMwriwa
karawA kara
hE hE
. .
gohara gohara
mahala mahala
SOkawa SOkawa
mahala mahala
ke ke
sAmane sAmane
badZI badZA
JIla JIla
ke kA
kinAre kinArA
sWiwa sWiwa
vAswukalA vAswukalA
kA kA
yaha yaha
KUbasUrawa KUbasUrawa
namUnA namUnA
kuxasiyA kuxasiyA
begama begama
ke kA
kAla kAla
kA kA
hE hE
jinheM jo
gohara gohara
begama begama
BI BI
kahA kaha
jAwA jA
WA WA
. .
yaha yaha
hiMxU _
Ora Ora
mugala _
kalA kalA
kA kA
axBuwa axBuwa
saMgama saMgama
hE hE
. .
BArawa BArawa
Bavana Bavana
yaha yaha
BArawa BArawa
kI kA
anUTI anUTA
rARtrIya rARtrIya
saMsWA saMsWA
hE hE
. .
muKya muKya
rUpa rUpa
se se
yaha yaha
praxarSana praxarSana
kalA kalA
Ora Ora
xqSya xqSya
kalA kalA
kA kA
keMxra keMxra
hE hE
. .
ise yaha
cArlsa cArlsa
koriyA koriyA
ne ne
dijAina dijAina
kiyA kara
hE hE
. .
viSAla viSAla
kRewra kRewra
meM meM
PEle PEla
isa yaha
Bavana Bavana
ke ke
Asa Asa
- -
pAsa pAsa
kA kA
prAkqwika prAkqwika
sOMxarya sOMxarya
ise yaha
Ora Ora
BI BI
Bavya Bavya
banAwA banA
hE hE
. .
yahIM yahIM
para para
eka eka
kalA kalA
saMgrahAlaya saMgrahAlaya
, COMMA
kalA kalA
xIrGA xIrGA
, COMMA
PAina PAina
Arta Arta
ke ke
lie lie
kAryaSAlA kAryaSAlA
, COMMA
eka eka
Wietara Wietara
, COMMA
aMwaraMga aMwaraMga
Ora Ora
bahiraMga bahiraMga
OYditoriyama OYditoriyama
, COMMA
riharsala riharsala
kakRa kakRa
, COMMA
BArawIya BArawIya
kaviwAoM kaviwA
kA kA
puswakAlaya puswakAlaya
, COMMA
SAswrIya SAswrIya
Ora Ora
loka loka
saMgIwa saMgIwa
saMgrahAlaya saMgrahAlaya
BI BI
hEM hE
. .
yaha yaha
somavAra somavAra
ke ke
alAvA alAvA
pUre pUrA
sapwAha sapwAha
xopahara xopahara
2 2
baje baje
se se
rAwa rAwa
8 8
baje baje
waka waka
KulA Kula
rahawA raha
hE hE
. .
iMxirA iMxirA
gAzXI gAzXI
rARtrIya rARtrIya
mAnava mAnava
saMgrahAlaya saMgrahAlaya
yaha yaha
eka eka
anUTA anUTA
saMgrahAlaya saMgrahAlaya
hE hE
jo jo
200 200
ekadZa ekada
meM meM
SyAmalA SyAmalA
hilsa hila
para para
